,pl_name,hostname,default_flag,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,sy_pnum,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,flag
4204,HD 66428 c,HD 66428,1,16.204,10.4725,-4.4334999999999996,4571.008150000001,4037.0564249999998,-2708.05694,2,0.2635,0.1635,-0.129,93.938,57.003,-55.476,,,,0
4209,HD 73583 b,HD 73583,1,0.0604,0.002,-0.002,13.05,4.35,-3.5,2,0.192,0.11,-0.061,89.428,0.38,-0.441,,,,0
4213,HD 73583 c,HD 73583,1,0.12375,0.0034999999999999996,-0.00345,16.1,3.4,-3.6,2,0.0865,0.12,-0.063,89.66499999999999,0.23,-0.255,,,,0
4218,gam Lib c,gam Lib,1,2.2439999999999998,0.052000000000000005,-0.051500000000000004,1559.1109000000001,90.581455,-91.69384,2,0.061,0.0335,-0.027,90.0,0.0,0.0,,,,03
4219,nu Oph b,nu Oph,1,1.79,0.0,0.0,7057.73298,29.24021,-17.79839,2,0.1256,0.003,-0.004,90.0,0.0,0.0,,,,03+3-
4220,HD 47366 c,HD 47366,1,1.853,0.045,-0.045,591.1638,38.1396,-44.4962,2,0.161,0.067,-0.08,90.0,0.0,0.0,,,,03
4222,HD 219134 c,HD 219134,1,0.064816,0.0008,-0.0008,3.527905,0.52748,-0.52748,6,0.07100000000000001,0.12,-0.039,87.292,0.0795,-0.0795,,,,0
4225,Kepler-32 b,Kepler-32,1,0.0514,0.00143,-0.00143,656.2,3.6,-3.1,5,0.0,0.0,0.0,89.95,0.0,0.0,,,,01+1-3+3-
4227,HD 113337 b,HD 113337,1,0.9710000000000001,0.0725,-0.076,985.273,76.28,-76.28,2,0.37,0.038,-0.0405,57.478,4.552,-3.652,,,,03
4228,Kepler-127 c,Kepler-127,1,0.2001,0.0,0.0,6.519564137009622,1.8374503505372761,-1.4030654428670468,3,0.0,0.14,-0.03,89.95,0.0,0.0,,,,023+3-
4231,HD 191939 c,HD 191939,1,0.1752,0.0055,-0.005,7.6,1.2,-1.2,6,0.017,0.034,-0.013,89.112,0.0755,-0.0885,,,,0
4241,Kepler-501 c,Kepler-501,1,0.0471,0.0,0.0,2.809089952738352,2.3861320387981526,-1.6788396338764298,2,0.0,0.0,0.0,88.81,0.0,0.0,,,,01+1-23+3-
4251,Kepler-1090 b,Kepler-1090,1,0.619,0.0,0.0,7.247700436056228,5.0585195933866896,-3.2503774311165063,2,0.0,0.0,0.0,89.95,0.0,0.0,,,,01+1-23+3-
4252,BD-11 4672 b,BD-11 4672,1,2.32,0.05500000000000001,-0.05500000000000001,187.51475,15.89075,-17.4799,2,0.05,0.055,-0.035,90.0,0.0,0.0,,,,03
4253,K2-395 b,K2-395,1,,,,7.464000387793208,2.332830669520881,-1.7825461966407783,2,0.31066330191540814,0.0,0.0,90.0,0.0,0.0,,,,0123
4265,HR 858 b,HR 858,1,0.048,0.001,-0.0011,4.684870083613307,3.359142005476979,-1.072134021873961,3,0.3,0.0,0.0,85.5,1.5,-0.5,,,,01+1-2
4275,Kepler-24 d,Kepler-24,1,0.0507,0.0,0.0,3.871260032186909,2.499209187385049,-1.9806162930555153,4,0.0,0.0,0.0,86.52,0.0,0.0,,,,01+1-23+3-
4280,Kepler-48 e,Kepler-48,1,1.898275,0.0,0.0,672.1631150000001,22.43034,-22.43034,5,0.003142,0.028616,-0.028616,90.0,0.0,0.0,,,,03
4281,HD 215497 b,HD 215497,1,0.0485,0.0,0.0,6.4783,3.1783,-3.1783,2,0.16,0.09,-0.09,90.0,,,,,,03
4283,HD 114783 b,HD 114783,1,1.1665,0.019,-0.019,328.45837,19.07,-19.07,2,0.113,0.0325,-0.0325,90.0,0.0,0.0,,,,03
4285,HD 136352 b,HD 136352,1,0.0964,0.0028,-0.0028,4.72,0.45,-0.44,3,0.079,0.07400000000000001,-0.0665,88.675,0.35500000000000004,-0.22499999999999998,,,,0
