,pl_name,hostname,default_flag,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,sy_pnum,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,flag
1000,HIP 113103 b,HIP 113103,1,0.06899,0.00029,-0.00023,4.3480722888609415,3.673012327185398,-1.1615984127592842,2,0.17,0.17,-0.13,88.23,0.18,-0.14,,,,02
1001,HIP 113103 c,HIP 113103,1,0.10479,0.00045,-0.00035,10.161094383365675,5.874148264888607,-3.9458981007797442,2,0.17,0.17,-0.13,89.24,0.4,-0.22,,,,02
1025,TOI-1246 d,TOI-1246,1,0.131,0.004,-0.004,5.3,1.7,-1.7,4,0.15319315421743498,0.0,0.0,89.5,0.2,-0.2,,,,01
1026,Kepler-26 d,Kepler-26,1,0.0373,0.00172,-0.00172,1.7836847679873515,0.6928310829452471,-0.5446359742123972,4,0.0,0.0,0.0,89.95,0.0,0.0,,,,01+1-23+3-
1027,Kepler-249 d,Kepler-249,1,0.0921,0.00398,-0.00398,1.7963195103401803,0.9915974905492773,-0.7310245221029337,3,0.0,0.0,0.0,89.95,0.0,0.0,,,,01+1-23+3-
1028,Kepler-205 b,Kepler-205,1,0.0307,0.00112,-0.00112,2.654633962522346,1.141472557397801,-0.8809386245705877,2,0.0,0.0,0.0,85.94,0.0,0.0,,,,01+1-23+3-
1029,Kepler-158 c,Kepler-158,1,0.1589,0.0,0.0,4.861095448543211,2.4378493775130003,-1.5845757624371917,2,0.0,0.0,0.0,89.38,0.0,0.0,,,,01+1-23+3-
1044,TIC 279401253 b,TIC 279401253,1,0.369,0.003,-0.003,1951.46642,123.95308,-133.48793,2,0.448,0.029,-0.028,89.59,0.27,-0.25,,,,0
1045,TIC 279401253 c,TIC 279401253,1,0.591,0.005,-0.006,2548.98382,57.20911,-57.20911,2,0.254,0.042,-0.036,90.0,0.0,0.0,,,,03+3-
1071,HD 158259 c,HD 158259,1,,,,5.6,0.6,-0.59,5,0.12200879700142936,0.0,0.0,90.0,0.0,0.0,,,,013
1075,HIP 97166 b,HIP 97166,1,0.089,0.001,-0.001,20.0,1.5,-1.5,2,0.16,0.03,-0.03,90.0,0.0,0.0,,,,03
1076,TOI-1670 c,TOI-1670,1,0.249,0.005,-0.005,200.2319,28.60456,-25.42627,2,0.09,0.05,-0.04,88.84,0.04,-0.04,,,,0
1104,HD 191939 g,HD 191939,1,0.812,0.028,-0.028,13.5,2.0,-2.0,6,0.03,0.025,-0.011,90.0,0.0,0.0,,,,03
1105,HD 191939 f,HD 191939,1,4.0,2.2,-2.2,1362.5,1435.0,-1435.0,6,0.0,0.0,0.0,90.0,0.0,0.0,,,,01+1-3
1107,GJ 806 b,GJ 806,1,0.01406,0.0003,-0.0003,1.9,0.17,-0.17,2,0.31066330191540814,0.0,0.0,87.7,0.6,-0.5,,,,01
1108,GJ 806 c,GJ 806,1,0.0523,0.0011,-0.0011,5.8,0.3,-0.3,2,0.31066330191540814,0.0,0.0,90.0,0.0,0.0,,,,013
1111,TOI-1136 b,TOI-1136,1,0.05106,0.0009,-0.0009,3.5,0.8,-0.7,6,0.028999999999999998,0.0235,-0.015,86.42,0.435,-0.40499999999999997,,,,0
1112,TOI-1136 c,TOI-1136,1,0.0669,0.0005,-0.0005,6.32,1.1,-1.3,6,0.1135,0.019,-0.019,89.11,0.5449999999999999,-0.775,,,,0
1113,TOI-1136 d,TOI-1136,1,0.1062,0.0008,-0.0008,8.35,1.8,-1.6,6,0.029,0.0085,-0.007,89.305,0.39,-0.39,,,,0
1114,TOI-1136 e,TOI-1136,1,,,,6.07,1.09,-1.01,6,0.04975,0.007,-0.0085,89.255,0.38,-0.33999999999999997,,,,0
