hostname,pl_name,rowupdate,sy_pnum,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,flag,pl_relincl,pl_relinclerr1,pl_relinclerr2
TOI-1294,TOI-1294 b,2024-07-22,2,0.051,0.001,-0.001,63.9,4.7,-4.5,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,-0.0,01+1-3+-5+-,0.0,0.0,-0.0
TOI-1294,TOI-1294 c,2024-07-22,2,0.61,0.02,-0.02,147.0,15.0,-14.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,-0.0,01+1-3+-5+-,0.0,0.0,-0.0
TOI-1798,TOI-1798.01,2024-07-22,2,0.074,0.001,-0.001,6.5,2.0,-2.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,-0.0,01+1-3+-5+-,0.0,0.0,-0.0
TOI-1798,TOI-1798.02,2024-07-22,2,0.01072,0.0002,-0.0002,5.6,0.8,-0.7,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,-0.0,01+1-3+-5+-,0.0,0.0,-0.0
TOI-1410,TOI-1410.01,2024-07-23,2,0.020322,0.0004,-0.0004,12.5,1.1,-1.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,-0.0,01+1-3+-5+-,0.0,0.0,-0.0
TOI-1410,TOI-1410 c,2024-07-23,2,0.239,0.004,-0.005,27.0,3.3,-3.2,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,-0.0,01+1-3+-5+-,0.0,0.0,-0.0
HIP 8152,HIP 8152 b,2024-07-23,2,0.0925,0.002,-0.002,8.35,1.75,-1.75,0.07,0.0,0.0,90.0,0.0,0.0,0.0,0.0,-0.0,01+1-3+-5+-,0.0,0.0,-0.0
HIP 8152,HIP 8152 c,2024-07-23,2,0.1385,0.003,-0.0025,10.05,2.1500000000000004,-2.2,0.24000000000000002,0.1,-0.1,90.0,0.0,0.0,0.0,0.0,-0.0,03+-5+-,0.0,0.0,-0.0
HD 25463,HD 25463 b,2024-07-23,2,0.076,0.0015,-0.0015,8.6,2.9000000000000004,-2.85,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,-0.0,01+1-3+-5+-,0.0,0.0,-0.0
HD 25463,HD 25463 c,2024-07-23,2,0.043899999999999995,0.0008500000000000001,-0.0008500000000000001,4.199999999999999,1.9,-1.9,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,-0.0,01+1-3+-5+-,0.0,0.0,-0.0
TOI-1408,TOI-1408 b,2024-08-07,2,0.05791,0.00015000000000000001,-0.00015000000000000001,565.0650049999999,33.78284,-33.78284,0.13065000000000002,0.01325,-0.01325,83.60050000000001,0.14700000000000002,-0.14700000000000002,0.0,0.207889393668845,-0.207889393668845,05+-,0.0,0.207889393668845,-0.207889393668845
TOI-1408,TOI-1408 c,2024-08-07,2,0.03587,8e-05,-8e-05,7.6,0.2,-0.2,0.1353,0.0001,-0.0001,82.6,0.3,-0.3,1.0005000000000166,0.3340793318958837,-0.3340793318958837,05+-,1.0005000000000166,0.3340793318958837,-0.3340793318958837
